Source,Gmag,BPmag,RPmag,Dist,Teff,Rad,Lum-Flame,Mass-Flame,Age-Flame
159485986971793792,15.284492000000002,16.295776,14.290655,1500.0681,5326.233,3.3658,14.970883,1.7519999999999998,1.721
2027321462492822016,15.907073,18.613455,14.461345,1899.1414,4722.759,19.5703,209.4639,3.305,0.292
455978024784083328,14.97608,15.341457,14.27474,2342.4258,15220.798,1.6521,145.84402,,
2944813063441303296,8.665411,8.774369,8.444026,339.0108,10083.617,2.833,78.1436,2.7060000000000004,0.345
425669230850287232,14.788446,15.034413,14.379326999999998,4682.960999999999,11106.252,2.9808,110.71249,2.99,0.2339999999999999
468639828889822208,12.720695,12.986331,12.292069,1283.4385,10618.262,2.2496,48.93461,2.549,
524125995990292224,14.24254,14.562123,13.74235,3884.0784,10181.126,3.8402,71.74744,2.6710000000000003,0.332
181234391395096192,14.189673,14.637524,13.575068,604.0519,5434.7065,0.9939,0.88314295,0.942,7.797000000000001
2224222382731392896,10.404061,10.584713,10.092951,429.5139,7867.294,2.0742,14.639193,1.818,0.878
87333044658713600,14.553268,14.914805,14.017005,1140.5651,5877.906999999999,1.3684,1.9896017,1.042,8.152999999999999
453654103874735488,13.369914,13.977429999999998,12.585241,1429.7585,10024.283,3.4277,167.5148,3.131,0.302
1088079563002133504,12.371383,12.522025,12.120868,879.7162,7902.946,1.5464,10.197003,1.71,0.6759999999999999
2005597822829666560,16.994705,17.527248,16.193722,6671.3247,9705.419,2.9387,71.456726,2.6260000000000003,0.395
527920410614982144,11.455927,11.799694,10.940669,639.9094,9791.877,2.3557,52.565586,2.485,0.38
1965073363287669248,12.571339,12.706923,12.2777,1070.495,9773.402,1.6428,24.135748,2.1790000000000003,
3279001685600113408,13.588547,14.770836,12.507925,75.7318,3678.631,0.5098,0.042070147,0.519,7.221
4013624333699997440,14.257963,15.270979,13.263138,144.0291,3895.8772,0.5867,0.07145978,0.591,11.079
1475747812264575872,14.904528,15.91069,13.906481,209.4689,4405.5034,0.6582,0.09810659,0.637,7.48
1204000867762512768,15.26744,16.466091,14.182681,215.0985,3647.2673,0.7112,0.07930994,0.6,10.69
515675183979075584,16.904942000000002,17.362579999999998,16.253754,4297.375,10430.378,1.5507,26.971397,,
45937187787908736,14.308997,15.013901999999998,13.492934,288.9049,4849.8555,0.7385,0.26435265,0.797,2.983
172318077941592704,15.079588,15.745597,14.284893,598.0276,5702.3916,0.8984,0.8885554,0.977,4.982
352189208058486144,11.908385,12.075908,11.618011,706.5153,7530.89,1.6731,6.7698464000000005,1.571,0.5579999999999999
181367264797688832,14.123611,14.713431,13.380167000000002,2134.023,6743.4473,4.0596,14.844984,1.7719999999999998,1.401
474906491107701888,12.077092,13.582577,10.896997,1920.533,4596.918,37.3614,345.89792,1.964,1.259
4045452236090832640,11.430217,12.890295,10.253743,13172.711,3629.2217,304.4995,879.0818,1.923,1.342
3083970313066928896,15.410368,16.422369,14.409568,229.9364,3890.2861,0.5574,0.061574437,0.57,11.265
119037393726877696,14.071976,14.63004,13.352742999999998,814.1258,5836.1074,1.6841,3.463606,1.147,6.408
979297662121419136,13.467211,14.629355,12.398574,74.7464,3708.853,0.518,0.045824595,0.528,12.083
1978696179229428096,13.136614000000002,13.381310999999998,12.725622,7858.937,15422.853,9.001,,,
138132680886341504,11.688266,12.40022,10.872826,1011.6342,4670.004,8.7055,28.634327000000003,1.294,4.756
150429172255295104,13.874169,14.660835999999998,13.007004,1133.7306,4779.333,3.9485,8.205297999999999,1.061,9.603
533528607110682368,13.203812,13.479387,12.55749,1657.3691,11949.879,2.6803,163.26549,3.298,
62355198495390848,13.795562,14.357365,13.08596,1089.1763,4992.4556,2.7525,3.817562,1.123,7.58
193919594483705600,16.195429,16.63757,15.559341,4012.3853,9951.599,2.0527,39.04485,2.375,0.295
3051632370428714880,15.144341,16.336,14.075681,3625.2092,4951.236,11.5581,67.72985,2.801,0.455
98023458776751360,12.803336,13.219145,12.220033,437.2328,5730.5225,1.2369,1.4353855,0.968,10.566
14045337627527424,11.884665,12.246344,11.304278,468.4275,6705.4023,1.8484,6.268767,1.469,1.893
394624588752462080,13.948935,14.152193,13.613886,2038.7762,7337.3916,2.0362,10.672424,1.682,1.151
