Year,Province,Total,Singles,Semis,Row,Apartment_and_Other
2023,Manitoba,1169.0,735.0,1182.0,1362.0,94.0
2023,New Brunswick,4113.0,2526.0,480.0,981.0,2718.0
2023,Newfoundland and Labrador,1914.0,1587.0,144.0,72.0,111.0
2023,Northwest Territories,45.0,27.0,6.0,0.0,12.0
2023,Nova Scotia,177.0,2112.0,306.0,705.0,0.0
2023,Ontario,20102.0,19825.0,3328.0,15119.0,11222.0
2023,Prince Edward Island,1788.0,627.0,324.0,381.0,456.0
2023,Quebec,13831.0,5557.0,2784.0,2124.0,12744.0
2023,Saskatchewan,1987.0,2098.0,438.0,1131.0,835.0
2023,Yukon,1344.0,237.0,18.0,426.0,663.0
