REF_DATE,GEO,DGUID,Type of structure,Type of unit,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS,POP
2001,"St. John's, Newfoundland and Labrador",2011S0503001,Apartment structures of six units and over,One bedroom units,Dollars,81,units,0,v3824626,6.4.2,504.0,,,,0,178457.0
2001,"St. John's, Newfoundland and Labrador",2011S0503001,Apartment structures of six units and over,Two bedroom units,Dollars,81,units,0,v3824814,6.4.3,585.0,,,,0,178457.0
2001,"St. John's, Newfoundland and Labrador",2011S0503001,Apartment structures of six units and over,Three bedroom units,Dollars,81,units,0,v3825002,6.4.4,584.0,,,,0,178457.0
2001,"Charlottetown, Prince Edward Island",2011S0504105,Row and apartment structures of three units and over,Bachelor units,Dollars,81,units,0,v3822844,7.3.1,357.0,,,,0,62181.0
2001,"Charlottetown, Prince Edward Island",2011S0504105,Row and apartment structures of three units and over,One bedroom units,Dollars,81,units,0,v3822978,7.3.2,448.0,,,,0,62181.0
2001,"Charlottetown, Prince Edward Island",2011S0504105,Row and apartment structures of three units and over,Two bedroom units,Dollars,81,units,0,v3823112,7.3.3,566.0,,,,0,62181.0
2001,"Charlottetown, Prince Edward Island",2011S0504105,Row and apartment structures of three units and over,Three bedroom units,Dollars,81,units,0,v3823246,7.3.4,710.0,,,,0,62181.0
2001,"Charlottetown, Prince Edward Island",2011S0504105,Row structures of three units and over,Three bedroom units,Dollars,81,units,0,v3823782,7.2.4,743.0,,,,0,62181.0
2001,"Charlottetown, Prince Edward Island",2011S0504105,Apartment structures of three units and over,Bachelor units,Dollars,81,units,0,v3823916,7.1.1,357.0,,,,0,62181.0
2001,"Charlottetown, Prince Edward Island",2011S0504105,Apartment structures of three units and over,One bedroom units,Dollars,81,units,0,v3824050,7.1.2,447.0,,,,0,62181.0
