"REF_DATE","GEO","DGUID","Type of structure","Type of unit","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2023","Kelowna, British Columbia","2011S0503915","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3822988","169.3.2","1479","","","","0"
"2024","Kelowna, British Columbia","2011S0503915","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3822988","169.3.2","1509","","","","0"
"2010","Kelowna, British Columbia","2011S0503915","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823122","169.3.3","893","","","","0"
"2011","Kelowna, British Columbia","2011S0503915","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823122","169.3.3","914","","","","0"
"2012","Kelowna, British Columbia","2011S0503915","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823122","169.3.3","918","","","","0"
"2013","Kelowna, British Columbia","2011S0503915","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823122","169.3.3","958","","","","0"
"2014","Kelowna, British Columbia","2011S0503915","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823122","169.3.3","968","","","","0"
"2015","Kelowna, British Columbia","2011S0503915","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823122","169.3.3","994","","","","0"
"2016","Kelowna, British Columbia","2011S0503915","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823122","169.3.3","1055","","","","0"
"2017","Kelowna, British Columbia","2011S0503915","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823122","169.3.3","1140","","","","0"
"2018","Kelowna, British Columbia","2011S0503915","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823122","169.3.3","1251","","","","0"
"2019","Kelowna, British Columbia","2011S0503915","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823122","169.3.3","1363","","","","0"
"2020","Kelowna, British Columbia","2011S0503915","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823122","169.3.3","1368","","","","0"
"2021","Kelowna, British Columbia","2011S0503915","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823122","169.3.3","1463","","","","0"
"2022","Kelowna, British Columbia","2011S0503915","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823122","169.3.3","1665","","","","0"
"2023","Kelowna, British Columbia","2011S0503915","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823122","169.3.3","1794","","","","0"
"2024","Kelowna, British Columbia","2011S0503915","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823122","169.3.3","1916","","","","0"
"2010","Kelowna, British Columbia","2011S0503915","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823256","169.3.4","1038","","","","0"
"2011","Kelowna, British Columbia","2011S0503915","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823256","169.3.4","1068","","","","0"
