"REF_DATE","GEO","DGUID","Economic family type","Income source","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Montréal, Quebec","2021S0503462","Other non-senior families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429211","15.11.1.4","108700","C","","","0"
"2022","Montréal, Quebec","2021S0503462","Other non-senior families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429211","15.11.1.4","104000","B","","","0"
"2023","Montréal, Quebec","2021S0503462","Other non-senior families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429211","15.11.1.4","98200","C","","","0"
"2000","Montréal, Quebec","2021S0503462","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429391","15.14.1.4","38200","C","","","0"
"2001","Montréal, Quebec","2021S0503462","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429391","15.14.1.4","40400","C","","","0"
"2002","Montréal, Quebec","2021S0503462","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429391","15.14.1.4","42600","C","","","0"
"2003","Montréal, Quebec","2021S0503462","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429391","15.14.1.4","41700","C","","","0"
"2004","Montréal, Quebec","2021S0503462","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429391","15.14.1.4","42300","C","","","0"
"2005","Montréal, Quebec","2021S0503462","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429391","15.14.1.4","38200","C","","","0"
"2006","Montréal, Quebec","2021S0503462","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429391","15.14.1.4","37500","D","","","0"
"2007","Montréal, Quebec","2021S0503462","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429391","15.14.1.4","38600","D","","","0"
"2008","Montréal, Quebec","2021S0503462","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429391","15.14.1.4","37000","D","","","0"
"2009","Montréal, Quebec","2021S0503462","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429391","15.14.1.4","38300","D","","","0"
"2010","Montréal, Quebec","2021S0503462","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429391","15.14.1.4","40500","D","","","0"
"2011","Montréal, Quebec","2021S0503462","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429391","15.14.1.4","42900","C","","","0"
"2012","Montréal, Quebec","2021S0503462","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429391","15.14.1.4","39800","C","","","0"
"2013","Montréal, Quebec","2021S0503462","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429391","15.14.1.4","40300","D","","","0"
"2014","Montréal, Quebec","2021S0503462","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429391","15.14.1.4","43800","C","","","0"
"2015","Montréal, Quebec","2021S0503462","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429391","15.14.1.4","38000","D","","","0"
"2016","Montréal, Quebec","2021S0503462","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429391","15.14.1.4","44600","C","","","0"
"2017","Montréal, Quebec","2021S0503462","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429391","15.14.1.4","43300","C","","","0"
"2018","Montréal, Quebec","2021S0503462","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429391","15.14.1.4","40600","C","","","0"
"2019","Montréal, Quebec","2021S0503462","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429391","15.14.1.4","40200","D","","","0"
"2020","Montréal, Quebec","2021S0503462","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429391","15.14.1.4","46800","C","","","0"
"2021","Montréal, Quebec","2021S0503462","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429391","15.14.1.4","54500","B","","","0"
"2022","Montréal, Quebec","2021S0503462","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429391","15.14.1.4","49800","B","","","0"
"2023","Montréal, Quebec","2021S0503462","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429391","15.14.1.4","49200","B","","","0"
"2000","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429811","16.7.1.4","111500","C","","","0"
"2001","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429811","16.7.1.4","113200","C","","","0"
"2002","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429811","16.7.1.4","121000","D","","","0"
"2003","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429811","16.7.1.4","113900","C","","","0"
"2004","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429811","16.7.1.4","118100","C","","","0"
"2005","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429811","16.7.1.4","123900","C","","","0"
"2006","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429811","16.7.1.4","130900","C","","","0"
"2007","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429811","16.7.1.4","141900","C","","","0"
"2008","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429811","16.7.1.4","123300","C","","","0"
"2009","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429811","16.7.1.4","134900","C","","","0"
"2010","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429811","16.7.1.4","121400","C","","","0"
"2011","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429811","16.7.1.4","132800","C","","","0"
"2012","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429811","16.7.1.4","148800","C","","","0"
"2013","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429811","16.7.1.4","144700","C","","","0"
"2014","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429811","16.7.1.4","128400","C","","","0"
"2015","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429811","16.7.1.4","132900","D","","","0"
"2016","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429811","16.7.1.4","132900","C","","","0"
"2017","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429811","16.7.1.4","135400","C","","","0"
"2018","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429811","16.7.1.4","140500","C","","","0"
"2019","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429811","16.7.1.4","115900","C","","","0"
"2020","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429811","16.7.1.4","128200","C","","","0"
"2021","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429811","16.7.1.4","144900","C","","","0"
"2022","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429811","16.7.1.4","137600","B","","","0"
"2023","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429811","16.7.1.4","137700","B","","","0"
"2000","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429871","16.8.1.4","127700","C","","","0"
"2001","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429871","16.8.1.4","132500","C","","","0"
"2002","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429871","16.8.1.4","145400","D","","","0"
"2003","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429871","16.8.1.4","139300","C","","","0"
"2004","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429871","16.8.1.4","147800","D","","","0"
"2005","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429871","16.8.1.4","149200","C","","","0"
"2006","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429871","16.8.1.4","148900","B","","","0"
"2007","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429871","16.8.1.4","148300","C","","","0"
"2008","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429871","16.8.1.4","151700","D","","","0"
"2009","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429871","16.8.1.4","158700","D","","","0"
"2010","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429871","16.8.1.4","159700","C","","","0"
"2011","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429871","16.8.1.4","158400","C","","","0"
"2012","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429871","16.8.1.4","168100","C","","","0"
"2013","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429871","16.8.1.4","155300","C","","","0"
"2014","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429871","16.8.1.4","168600","D","","","0"
"2015","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429871","16.8.1.4","169400","C","","","0"
"2016","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429871","16.8.1.4","152700","C","","","0"
"2017","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429871","16.8.1.4","153500","C","","","0"
"2018","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429871","16.8.1.4","163300","B","","","0"
"2019","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429871","16.8.1.4","170300","D","","","0"
"2020","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429871","16.8.1.4","182800","B","","","0"
"2021","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429871","16.8.1.4","178800","C","","","0"
"2022","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429871","16.8.1.4","168900","B","","","0"
"2023","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429871","16.8.1.4","171800","B","","","0"
"2000","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429931","16.9.1.4","136200","D","","","0"
"2001","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429931","16.9.1.4","176200","D","","","0"
"2002","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429931","16.9.1.4","146400","D","","","0"
"2003","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429931","16.9.1.4","150300","D","","","0"
"2004","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429931","16.9.1.4","164100","D","","","0"
"2005","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429931","16.9.1.4","179500","D","","","0"
"2006","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429931","16.9.1.4","181400","C","","","0"
"2007","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429931","16.9.1.4","176800","D","","","0"
"2008","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429931","16.9.1.4","207900","D","","","0"
"2009","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429931","16.9.1.4","175000","D","","","0"
"2010","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429931","16.9.1.4","187300","E","","","0"
"2011","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429931","16.9.1.4","185500","D","","","0"
"2012","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429931","16.9.1.4","198300","C","","","0"
"2013","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429931","16.9.1.4","191900","D","","","0"
"2014","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429931","16.9.1.4","161800","D","","","0"
"2015","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429931","16.9.1.4","211100","D","","","0"
"2016","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429931","16.9.1.4","191100","D","","","0"
"2017","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429931","16.9.1.4","207600","C","","","0"
"2018","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429931","16.9.1.4","223900","C","","","0"
"2019","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429931","16.9.1.4","201300","C","","","0"
"2020","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429931","16.9.1.4","251400","C","","","0"
"2021","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429931","16.9.1.4","205000","C","","","0"
"2022","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429931","16.9.1.4","219400","C","","","0"
"2023","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429931","16.9.1.4","220000","C","","","0"
"2000","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Lone-parent families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429991","16.10.1.4","62700","D","","","0"
"2001","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Lone-parent families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429991","16.10.1.4","60300","E","","","0"
"2002","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Lone-parent families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429991","16.10.1.4","47000","D","","","0"
"2003","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Lone-parent families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429991","16.10.1.4","43200","E","","","0"
"2004","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Lone-parent families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429991","16.10.1.4","48900","E","","","0"
"2005","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Lone-parent families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429991","16.10.1.4","56200","D","","","0"
"2006","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Lone-parent families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429991","16.10.1.4","65700","D","","","0"
"2007","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Lone-parent families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429991","16.10.1.4","72200","D","","","0"
"2008","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Lone-parent families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429991","16.10.1.4","60700","E","","","0"
"2009","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Lone-parent families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429991","16.10.1.4","80100","E","","","0"
"2010","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Lone-parent families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429991","16.10.1.4","78500","E","","","0"
"2011","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Lone-parent families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429991","16.10.1.4","82600","E","","","0"
"2012","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Lone-parent families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429991","16.10.1.4","65000","D","","","0"
"2013","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Lone-parent families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429991","16.10.1.4","50200","E","","","0"
"2014","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Lone-parent families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429991","16.10.1.4","93600","E","","","0"
"2015","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Lone-parent families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429991","16.10.1.4","60300","E","","","0"
"2016","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Lone-parent families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429991","16.10.1.4","60700","E","","","0"
"2017","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Lone-parent families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429991","16.10.1.4","67900","D","","","0"
"2018","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Lone-parent families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429991","16.10.1.4","62500","E","","","0"
"2019","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Lone-parent families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429991","16.10.1.4","95800","D","","","0"
"2020","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Lone-parent families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429991","16.10.1.4","91000","C","","","0"
"2021","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Lone-parent families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429991","16.10.1.4","100600","C","","","0"
"2022","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Lone-parent families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429991","16.10.1.4","80800","D","","","0"
"2023","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Lone-parent families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96429991","16.10.1.4","85900","C","","","0"
"2000","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Other non-senior families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96430051","16.11.1.4","91900","D","","","0"
"2001","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Other non-senior families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96430051","16.11.1.4","83700","D","","","0"
"2002","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Other non-senior families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96430051","16.11.1.4","124000","D","","","0"
"2003","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Other non-senior families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96430051","16.11.1.4","101100","D","","","0"
"2004","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Other non-senior families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96430051","16.11.1.4","109300","D","","","0"
"2005","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Other non-senior families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96430051","16.11.1.4","78800","E","","","0"
"2006","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Other non-senior families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96430051","16.11.1.4","84700","E","","","0"
"2007","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Other non-senior families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96430051","16.11.1.4","90500","D","","","0"
"2008","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Other non-senior families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96430051","16.11.1.4","71200","E","","","0"
"2009","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Other non-senior families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96430051","16.11.1.4","82500","E","","","0"
"2010","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Other non-senior families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96430051","16.11.1.4","93000","E","","","0"
"2011","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Other non-senior families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96430051","16.11.1.4","74100","E","","","0"
"2012","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Other non-senior families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96430051","16.11.1.4","85100","D","","","0"
"2013","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Other non-senior families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96430051","16.11.1.4","97600","E","","","0"
"2014","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Other non-senior families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96430051","16.11.1.4","96500","E","","","0"
"2015","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Other non-senior families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96430051","16.11.1.4","79600","D","","","0"
"2016","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Other non-senior families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96430051","16.11.1.4","88800","E","","","0"
"2017","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Other non-senior families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96430051","16.11.1.4","102500","D","","","0"
"2018","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Other non-senior families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96430051","16.11.1.4","96900","E","","","0"
"2019","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Other non-senior families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96430051","16.11.1.4","91500","E","","","0"
"2020","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Other non-senior families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96430051","16.11.1.4","126900","C","","","0"
"2021","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Other non-senior families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96430051","16.11.1.4","115600","D","","","0"
"2022","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Other non-senior families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96430051","16.11.1.4","107100","C","","","0"
"2023","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Other non-senior families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96430051","16.11.1.4","102800","C","","","0"
"2000","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96430231","16.14.1.4","36000","D","","","0"
"2001","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96430231","16.14.1.4","44300","C","","","0"
"2002","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96430231","16.14.1.4","47800","D","","","0"
"2003","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96430231","16.14.1.4","46900","D","","","0"
"2004","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96430231","16.14.1.4","39400","E","","","0"
