"REF_DATE","GEO","DGUID","Economic family type","Income source","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2011","Québec, Quebec","2021S0503421","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428191","14.8.1.4","143300","C","","","0"
"2012","Québec, Quebec","2021S0503421","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428191","14.8.1.4","134700","D","","","0"
"2013","Québec, Quebec","2021S0503421","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428191","14.8.1.4","142200","D","","","0"
"2014","Québec, Quebec","2021S0503421","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428191","14.8.1.4","135200","C","","","0"
"2015","Québec, Quebec","2021S0503421","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428191","14.8.1.4","145400","C","","","0"
"2016","Québec, Quebec","2021S0503421","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428191","14.8.1.4","145200","C","","","0"
"2017","Québec, Quebec","2021S0503421","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428191","14.8.1.4","141500","C","","","0"
"2018","Québec, Quebec","2021S0503421","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428191","14.8.1.4","147000","C","","","0"
"2019","Québec, Quebec","2021S0503421","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428191","14.8.1.4","146400","C","","","0"
"2020","Québec, Quebec","2021S0503421","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428191","14.8.1.4","155700","B","","","0"
"2021","Québec, Quebec","2021S0503421","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428191","14.8.1.4","160500","B","","","0"
"2022","Québec, Quebec","2021S0503421","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428191","14.8.1.4","166800","B","","","0"
"2023","Québec, Quebec","2021S0503421","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428191","14.8.1.4","167100","B","","","0"
"2000","Québec, Quebec","2021S0503421","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428251","14.9.1.4","123200","C","","","0"
"2001","Québec, Quebec","2021S0503421","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428251","14.9.1.4","122300","C","","","0"
"2002","Québec, Quebec","2021S0503421","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428251","14.9.1.4","131100","D","","","0"
"2003","Québec, Quebec","2021S0503421","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428251","14.9.1.4","146500","E","","","0"
"2004","Québec, Quebec","2021S0503421","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428251","14.9.1.4","127900","E","","","0"
"2005","Québec, Quebec","2021S0503421","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428251","14.9.1.4","","F","","","0"
"2006","Québec, Quebec","2021S0503421","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428251","14.9.1.4","","F","","","0"
"2007","Québec, Quebec","2021S0503421","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428251","14.9.1.4","","F","","","0"
"2008","Québec, Quebec","2021S0503421","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428251","14.9.1.4","148500","C","","","0"
"2009","Québec, Quebec","2021S0503421","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428251","14.9.1.4","","F","","","0"
"2010","Québec, Quebec","2021S0503421","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428251","14.9.1.4","169100","D","","","0"
"2011","Québec, Quebec","2021S0503421","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428251","14.9.1.4","","F","","","0"
"2012","Québec, Quebec","2021S0503421","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428251","14.9.1.4","","F","","","0"
"2013","Québec, Quebec","2021S0503421","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428251","14.9.1.4","148500","C","","","0"
"2014","Québec, Quebec","2021S0503421","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428251","14.9.1.4","","F","","","0"
"2015","Québec, Quebec","2021S0503421","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428251","14.9.1.4","","F","","","0"
"2016","Québec, Quebec","2021S0503421","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428251","14.9.1.4","","F","","","0"
"2017","Québec, Quebec","2021S0503421","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428251","14.9.1.4","159100","C","","","0"
"2018","Québec, Quebec","2021S0503421","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428251","14.9.1.4","174600","D","","","0"
"2019","Québec, Quebec","2021S0503421","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428251","14.9.1.4","","F","","","0"
"2020","Québec, Quebec","2021S0503421","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428251","14.9.1.4","182100","D","","","0"
"2021","Québec, Quebec","2021S0503421","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428251","14.9.1.4","223700","D","","","0"
"2022","Québec, Quebec","2021S0503421","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428251","14.9.1.4","211400","C","","","0"
"2023","Québec, Quebec","2021S0503421","Couples with other relatives","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428251","14.9.1.4","201800","C","","","0"
"2000","Québec, Quebec","2021S0503421","Lone-parent families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428311","14.10.1.4","","F","","","0"
"2001","Québec, Quebec","2021S0503421","Lone-parent families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428311","14.10.1.4","29700","E","","","0"
"2002","Québec, Quebec","2021S0503421","Lone-parent families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428311","14.10.1.4","","F","","","0"
"2003","Québec, Quebec","2021S0503421","Lone-parent families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428311","14.10.1.4","","F","","","0"
"2004","Québec, Quebec","2021S0503421","Lone-parent families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428311","14.10.1.4","","F","","","0"
"2005","Québec, Quebec","2021S0503421","Lone-parent families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428311","14.10.1.4","","F","","","0"
"2006","Québec, Quebec","2021S0503421","Lone-parent families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428311","14.10.1.4","","F","","","0"
"2007","Québec, Quebec","2021S0503421","Lone-parent families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428311","14.10.1.4","","F","","","0"
"2008","Québec, Quebec","2021S0503421","Lone-parent families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428311","14.10.1.4","","F","","","0"
